Supplementary Table 10: Top RNA markers of the Level3M WNN clusters (MarkerFinder results),,,,
,,,,
UID,Symbol,Pearson rho,Pearson p-value,Cell State
CSNK1G3,CSNK1G3,0.296700381,6.18E-16,B Memory-1
TMEM62,TMEM62,0.294699261,9.85E-16,B Memory-1
REL,REL,0.29338337,1.34E-15,B Memory-1
C7orf50,C7orf50,0.287985705,4.59E-15,B Memory-1
MAPK8IP3,MAPK8IP3,0.286734475,6.09E-15,B Memory-1
WHAMM,WHAMM,0.286607884,6.27E-15,B Memory-1
ZNF775,ZNF775,0.283861192,1.16E-14,B Memory-1
CEP120,CEP120,0.257409712,3.07E-12,B Memory-1
KIAA1551,KIAA1551,0.253077686,7.23E-12,B Memory-1
PARP14,PARP14,0.251017076,1.08E-11,B Memory-1
KLHL5,KLHL5,0.243476908,4.56E-11,B Memory-1
USP8,USP8,0.233527458,2.83E-10,B Memory-1
MANBA,MANBA,0.211910877,1.13E-08,B Memory-1
SETDB2,SETDB2,0.18948735,3.52E-07,B Memory-1
CYLD,CYLD,0.173768508,3.10E-06,B Memory-1
FAU,FAU,0.122123769,0.001093975,B Memory-1
AIM2,AIM2,0.77402112,4.59E-143,B Memory-2
MS4A1,MS4A1,0.703709018,1.71E-107,B Memory-2
ZBTB32,ZBTB32,0.703126854,3.05E-107,B Memory-2
RALGPS2,RALGPS2,0.696437573,2.07E-104,B Memory-2
KLK1,KLK1,0.692805008,6.64E-103,B Memory-2
CLECL1,CLECL1,0.6576548,2.05E-89,B Memory-2
FCRL2,FCRL2,0.64963056,1.39E-86,B Memory-2
SOX5,SOX5,0.638575078,7.98E-83,B Memory-2
CNR2,CNR2,0.618368441,2.46E-76,B Memory-2
BLK,BLK,0.608018279,3.42E-73,B Memory-2
ARHGAP24,ARHGAP24,0.60524934,2.27E-72,B Memory-2
BANK1,BANK1,0.603838665,5.90E-72,B Memory-2
GNG3,GNG3,0.568986816,2.56E-62,B Memory-2
SP140,SP140,0.545938768,1.50E-56,B Memory-2
P2RX5,P2RX5,0.53259543,2.07E-53,B Memory-2
GRAMD1C,GRAMD1C,0.51637541,8.88E-50,B Memory-2
ST8SIA4,ST8SIA4,0.475871412,1.62E-41,B Memory-2
RASSF6,RASSF6,0.471415289,1.13E-40,B Memory-2
CCDC141,CCDC141,0.466297926,1.01E-39,B Memory-2
PPFIBP2,PPFIBP2,0.461265052,8.45E-39,B Memory-2
CD180,CD180,0.456063951,7.30E-38,B Memory-2
OSBPL10,OSBPL10,0.445695974,4.81E-36,B Memory-2
POU2F2,POU2F2,0.441441806,2.58E-35,B Memory-2
ADCY1,ADCY1,0.402272304,4.49E-29,B Memory-2
DUS2,DUS2,0.396165924,3.58E-28,B Memory-2
TFEB,TFEB,0.394895937,5.48E-28,B Memory-2
TATDN3,TATDN3,0.387692991,5.92E-27,B Memory-2
LTA,LTA,0.383885439,2.04E-26,B Memory-2
U2AF1L4,U2AF1L4,0.383525195,2.29E-26,B Memory-2
TAL2,TAL2,0.382278366,3.41E-26,B Memory-2
POTEG,POTEG,0.38106451,5.03E-26,B Memory-2
SIPA1L3,SIPA1L3,0.376872493,1.90E-25,B Memory-2
STAP1,STAP1,0.370588159,1.34E-24,B Memory-2
HIST4H4,HIST4H4,0.368252849,2.74E-24,B Memory-2
TUBB4A,TUBB4A,0.367584634,3.36E-24,B Memory-2
USP28,USP28,0.360778913,2.60E-23,B Memory-2
POU5F2,POU5F2,0.347758579,1.14E-21,B Memory-2
PTPRCAP,PTPRCAP,0.346772352,1.51E-21,B Memory-2
CD52,CD52,0.342439602,5.09E-21,B Memory-2
TRIB3,TRIB3,0.341503929,6.60E-21,B Memory-2
CD40,CD40,0.33951141,1.15E-20,B Memory-2
GPR18,GPR18,0.329536241,1.70E-19,B Memory-2
PCSK7,PCSK7,0.327253325,3.11E-19,B Memory-2
GPRC5D,GPRC5D,0.327108244,3.23E-19,B Memory-2
BCL10,BCL10,0.320418531,1.83E-18,B Memory-2
TIRAP,TIRAP,0.318301299,3.15E-18,B Memory-2
GPR3,GPR3,0.317728002,3.65E-18,B Memory-2
TAF6L,TAF6L,0.317083249,4.29E-18,B Memory-2
TNFAIP8,TNFAIP8,0.314102734,9.10E-18,B Memory-2
ZNF17,ZNF17,0.309319324,2.98E-17,B Memory-2
TMPPE,TMPPE,0.308673507,3.50E-17,B Memory-2
TBC1D10C,TBC1D10C,0.298249357,4.29E-16,B Memory-2
QSOX2,QSOX2,0.291742831,1.95E-15,B Memory-2
GCNT2,GCNT2,0.291616922,2.01E-15,B Memory-2
ANKRD13A,ANKRD13A,0.289093117,3.57E-15,B Memory-2
TRAF3,TRAF3,0.287794124,4.80E-15,B Memory-2
ZFAND6,ZFAND6,0.287359302,5.29E-15,B Memory-2
SP100,SP100,0.285997703,7.19E-15,B Memory-2
SH3BP5L,SH3BP5L,0.284845252,9.31E-15,B Memory-2
ZCCHC6,ZCCHC6,0.28312261,1.37E-14,B Memory-2
TTC13,TTC13,0.281183211,2.10E-14,B Memory-2
GEN1,GEN1,0.276926484,5.31E-14,B Memory-2
SP110,SP110,0.274768911,8.46E-14,B Memory-2
ANKRD53,ANKRD53,0.26855806,3.15E-13,B Memory-2
C19orf44,C19orf44,0.257562004,2.98E-12,B Memory-2
IQCG,IQCG,0.255496905,4.49E-12,B Memory-2
SLC29A3,SLC29A3,0.255276986,4.69E-12,B Memory-2
CLDND1,CLDND1,0.255245091,4.72E-12,B Memory-2
RNF145,RNF145,0.253265378,6.97E-12,B Memory-2
CA11,CA11,0.251640676,9.58E-12,B Memory-2
AGMAT,AGMAT,0.247785166,2.01E-11,B Memory-2
C7orf31,C7orf31,0.242912566,5.07E-11,B Memory-2
POLD4,POLD4,0.24158938,6.49E-11,B Memory-2
ZBTB24,ZBTB24,0.23137698,4.16E-10,B Memory-2
AMFR,AMFR,0.230604768,4.77E-10,B Memory-2
LRRC24,LRRC24,0.229598459,5.69E-10,B Memory-2
ZNF257,ZNF257,0.224213895,1.45E-09,B Memory-2
CDYL2,CDYL2,0.219904831,3.03E-09,B Memory-2
ZBTB40,ZBTB40,0.219685071,3.14E-09,B Memory-2
USP21,USP21,0.214430127,7.51E-09,B Memory-2
EME2,EME2,0.204679908,3.58E-08,B Memory-2
ZNF280C,ZNF280C,0.203719521,4.16E-08,B Memory-2
GNPDA2,GNPDA2,0.201952575,5.47E-08,B Memory-2
COQ7,COQ7,0.198202534,9.69E-08,B Memory-2
VPS18,VPS18,0.197652849,1.05E-07,B Memory-2
TGDS,TGDS,0.197376505,1.10E-07,B Memory-2
C3orf38,C3orf38,0.193918396,1.84E-07,B Memory-2
ASPSCR1,ASPSCR1,0.186619278,5.30E-07,B Memory-2
ZMIZ2,ZMIZ2,0.18520256,6.48E-07,B Memory-2
ELMOD3,ELMOD3,0.172577428,3.63E-06,B Memory-2
TBP,TBP,0.171006902,4.46E-06,B Memory-2
TBC1D22A,TBC1D22A,0.167889277,6.67E-06,B Memory-2
CHST10,CHST10,0.163113413,1.22E-05,B Memory-2
ZNF7,ZNF7,0.159193796,1.98E-05,B Memory-2
AP1G2,AP1G2,0.146905069,8.34E-05,B Memory-2
ADAT1,ADAT1,0.139702888,0.000184356,B Memory-2
AL592183.1,AL592183.1,0.122514918,0.001053969,B Memory-2
MS4A2,MS4A2,0.77395175,5.04E-143,BMCP-1
FAM83F,FAM83F,0.749492666,2.61E-129,BMCP-1
ENPP3,ENPP3,0.712158976,3.39E-111,BMCP-1
HDC,HDC,0.699404462,1.17E-105,BMCP-1
SLC45A3,SLC45A3,0.670297749,4.72E-94,BMCP-1
DTWD2,DTWD2,0.658220285,1.29E-89,BMCP-1
SLC18A2,SLC18A2,0.619292668,1.27E-76,BMCP-1
TTLL7,TTLL7,0.60989736,9.37E-74,BMCP-1
ATP10D,ATP10D,0.608444717,2.55E-73,BMCP-1
MYH11,MYH11,0.595141064,1.94E-69,BMCP-1
AFF2,AFF2,0.559527089,6.77E-60,BMCP-1
LMO4,LMO4,0.529340222,1.15E-52,BMCP-1
CSF2RB,CSF2RB,0.503158701,5.84E-47,BMCP-1
ACSL4,ACSL4,0.472657046,6.59E-41,BMCP-1
MCTP2,MCTP2,0.461733821,6.95E-39,BMCP-1
KIT,KIT,0.421330531,5.23E-32,BMCP-1
FCER1A,FCER1A,0.409983463,3.08E-30,BMCP-1
VAT1,VAT1,0.403674589,2.77E-29,BMCP-1
HNRNPLL,HNRNPLL,0.401856212,5.18E-29,BMCP-1
KANSL3,KANSL3,0.401486442,5.88E-29,BMCP-1
ABCC1,ABCC1,0.39857735,1.58E-28,BMCP-1
RYR3,RYR3,0.393911581,7.61E-28,BMCP-1
IKZF2,IKZF2,0.393822093,7.84E-28,BMCP-1
MTMR3,MTMR3,0.393714812,8.12E-28,BMCP-1
SLC26A2,SLC26A2,0.370792225,1.26E-24,BMCP-1
HPGDS,HPGDS,0.359292405,4.05E-23,BMCP-1
FAM129A,FAM129A,0.357397429,7.07E-23,BMCP-1
RAB3D,RAB3D,0.355426312,1.26E-22,BMCP-1
TAB3,TAB3,0.354793505,1.51E-22,BMCP-1
LPCAT2,LPCAT2,0.348530744,9.17E-22,BMCP-1
SEMA3C,SEMA3C,0.345803035,1.99E-21,BMCP-1
FKBP14,FKBP14,0.344222077,3.10E-21,BMCP-1
RNF10,RNF10,0.340510037,8.70E-21,BMCP-1
PRKX,PRKX,0.334223807,4.84E-20,BMCP-1
EPS15L1,EPS15L1,0.328752741,2.09E-19,BMCP-1
P2RY1,P2RY1,0.327546667,2.88E-19,BMCP-1
RPS6KA5,RPS6KA5,0.321433253,1.41E-18,BMCP-1
LIN7A,LIN7A,0.318116447,3.30E-18,BMCP-1
ATXN7,ATXN7,0.305114817,8.32E-17,BMCP-1
FBXO34,FBXO34,0.301503946,1.98E-16,BMCP-1
HERC1,HERC1,0.299352119,3.31E-16,BMCP-1
KIF3A,KIF3A,0.298690744,3.87E-16,BMCP-1
DENND1B,DENND1B,0.297673633,4.91E-16,BMCP-1
BAZ2B,BAZ2B,0.291933847,1.87E-15,BMCP-1
MGA,MGA,0.290127386,2.82E-15,BMCP-1
TPCN1,TPCN1,0.27955644,3.00E-14,BMCP-1
ITGA4,ITGA4,0.276044181,6.43E-14,BMCP-1
ITPR2,ITPR2,0.27438564,9.18E-14,BMCP-1
CD84,CD84,0.271764084,1.61E-13,BMCP-1
ATP8B4,ATP8B4,0.270448673,2.12E-13,BMCP-1
PIKFYVE,PIKFYVE,0.267291231,4.11E-13,BMCP-1
ZNF44,ZNF44,0.266692959,4.65E-13,BMCP-1
GMCL1,GMCL1,0.260352998,1.70E-12,BMCP-1
RNF168,RNF168,0.258444407,2.50E-12,BMCP-1
STT3A,STT3A,0.256142198,3.95E-12,BMCP-1
KIAA1109,KIAA1109,0.255169328,4.79E-12,BMCP-1
VPS13A,VPS13A,0.254508499,5.46E-12,BMCP-1
UGGT1,UGGT1,0.253177844,7.09E-12,BMCP-1
TET2,TET2,0.244040866,4.10E-11,BMCP-1
SLC10A7,SLC10A7,0.243351432,4.67E-11,BMCP-1
MYO15B,MYO15B,0.239170402,1.01E-10,BMCP-1
BRWD3,BRWD3,0.232031184,3.70E-10,BMCP-1
ARHGAP5,ARHGAP5,0.228358253,7.08E-10,BMCP-1
SEC24C,SEC24C,0.22246237,1.96E-09,BMCP-1
GDE1,GDE1,0.222124554,2.08E-09,BMCP-1
FAM53C,FAM53C,0.221136324,2.46E-09,BMCP-1
DPY19L3,DPY19L3,0.219015043,3.51E-09,BMCP-1
FAM20B,FAM20B,0.21762708,4.43E-09,BMCP-1
SOS2,SOS2,0.207145159,2.43E-08,BMCP-1
LMBR1,LMBR1,0.206653376,2.63E-08,BMCP-1
PHF12,PHF12,0.205522118,3.14E-08,BMCP-1
ABHD2,ABHD2,0.202259278,5.21E-08,BMCP-1
ORAI3,ORAI3,0.189028675,3.76E-07,BMCP-1
COPA,COPA,0.188538462,4.03E-07,BMCP-1
ITCH,ITCH,0.173667504,3.14E-06,BMCP-1
PRKCSH,PRKCSH,0.172318729,3.75E-06,BMCP-1
ARFGEF2,ARFGEF2,0.165839209,8.66E-06,BMCP-1
PRRC1,PRRC1,0.155436351,3.11E-05,BMCP-1
TAF1,TAF1,0.155264464,3.17E-05,BMCP-1
TNFRSF4,TNFRSF4,0.732665561,9.10E-121,CD4 TCM
CD5,CD5,0.510803157,1.42E-48,CD4 TCM
GATA3,GATA3,0.471533382,1.07E-40,CD4 TCM
FBLN7,FBLN7,0.422011835,4.07E-32,CD4 TCM
JMY,JMY,0.335104367,3.82E-20,CD4 TCM
P2RY8,P2RY8,0.32071489,1.70E-18,CD4 TCM
PGAP1,PGAP1,0.306343706,6.18E-17,CD4 TCM
MBP,MBP,0.275934004,6.58E-14,CD4 TCM
BATF,BATF,0.264814982,6.85E-13,CD4 TCM
MECP2,MECP2,0.261612321,1.32E-12,CD4 TCM
KLF12,KLF12,0.256974,3.35E-12,CD4 TCM
USP10,USP10,0.195881176,1.37E-07,CD4 TCM
GSTK1,GSTK1,0.178684165,1.60E-06,CD4 TCM
URI1,URI1,0.122819648,0.001023742,CD4 TCM
CRTAM,CRTAM,0.916075846,5.63E-284,CD8 TEM
TNFRSF9,TNFRSF9,0.909395862,1.05E-272,CD8 TEM
TIGIT,TIGIT,0.834608186,4.84E-186,CD8 TEM
IFNG,IFNG,0.824573543,8.43E-178,CD8 TEM
XCL1,XCL1,0.792951607,6.29E-155,CD8 TEM
CD8A,CD8A,0.762888627,1.29E-136,CD8 TEM
RGS1,RGS1,0.747223018,4.05E-128,CD8 TEM
CCL3L1,CCL3L1,0.700068917,6.15E-106,CD8 TEM
XCL2,XCL2,0.695706774,4.18E-104,CD8 TEM
DUSP2,DUSP2,0.664776132,5.34E-92,CD8 TEM
GZMK,GZMK,0.64981514,1.20E-86,CD8 TEM
SH2D1A,SH2D1A,0.647100579,1.04E-85,CD8 TEM
CCL3L3,CCL3L3,0.645501919,3.67E-85,CD8 TEM
CMC1,CMC1,0.630249256,4.30E-80,CD8 TEM
PARD6G,PARD6G,0.601471822,2.91E-71,CD8 TEM
TENM1,TENM1,0.585582965,9.22E-67,CD8 TEM
IL21R,IL21R,0.570960986,7.82E-63,CD8 TEM
ST8SIA1,ST8SIA1,0.558658356,1.12E-59,CD8 TEM
TSPYL2,TSPYL2,0.539863915,4.20E-55,CD8 TEM
CXCR3,CXCR3,0.527710208,2.70E-52,CD8 TEM
KLRG1,KLRG1,0.513850388,3.14E-49,CD8 TEM
TMEM2,TMEM2,0.512062865,7.61E-49,CD8 TEM
RUNX3,RUNX3,0.508575862,4.23E-48,CD8 TEM
SLA,SLA,0.50481595,2.63E-47,CD8 TEM
SYTL3,SYTL3,0.48237218,9.05E-43,CD8 TEM
FYN,FYN,0.477417307,8.20E-42,CD8 TEM
METRNL,METRNL,0.464057354,2.62E-39,CD8 TEM
STAT4,STAT4,0.460137155,1.35E-38,CD8 TEM
AKNA,AKNA,0.45950659,1.76E-38,CD8 TEM
GALNT11,GALNT11,0.457569589,3.93E-38,CD8 TEM
CCNH,CCNH,0.453543889,2.05E-37,CD8 TEM
PTPN22,PTPN22,0.449162649,1.21E-36,CD8 TEM
NR4A2,NR4A2,0.448915852,1.33E-36,CD8 TEM
TNF,TNF,0.444569727,7.52E-36,CD8 TEM
CCSER2,CCSER2,0.44121581,2.82E-35,CD8 TEM
GBP5,GBP5,0.431986619,9.86E-34,CD8 TEM
PPP2R5C,PPP2R5C,0.430156595,1.97E-33,CD8 TEM
ENC1,ENC1,0.406544409,1.03E-29,CD8 TEM
CREM,CREM,0.405739726,1.36E-29,CD8 TEM
CNOT6L,CNOT6L,0.389052684,3.80E-27,CD8 TEM
N4BP1,N4BP1,0.388199834,5.02E-27,CD8 TEM
FAM46C,FAM46C,0.381178038,4.85E-26,CD8 TEM
ATXN1,ATXN1,0.367047884,3.96E-24,CD8 TEM
MTFP1,MTFP1,0.366863802,4.19E-24,CD8 TEM
PGRMC2,PGRMC2,0.366210119,5.10E-24,CD8 TEM
PPP1R16B,PPP1R16B,0.365341101,6.64E-24,CD8 TEM
HAUS3,HAUS3,0.365184467,6.96E-24,CD8 TEM
GGA2,GGA2,0.361639817,2.02E-23,CD8 TEM
RIC8A,RIC8A,0.349512648,6.93E-22,CD8 TEM
HERPUD2,HERPUD2,0.347793514,1.13E-21,CD8 TEM
DBF4,DBF4,0.340567364,8.56E-21,CD8 TEM
IL32,IL32,0.338155894,1.66E-20,CD8 TEM
RNF19A,RNF19A,0.337093143,2.22E-20,CD8 TEM
CD69,CD69,0.334848018,4.09E-20,CD8 TEM
CLEC2D,CLEC2D,0.332612635,7.47E-20,CD8 TEM
PTPRJ,PTPRJ,0.329095628,1.91E-19,CD8 TEM
CDK11A,CDK11A,0.327400795,2.99E-19,CD8 TEM
DDX24,DDX24,0.324916054,5.73E-19,CD8 TEM
PDCD4,PDCD4,0.315043726,7.19E-18,CD8 TEM
PIK3R1,PIK3R1,0.309522152,2.84E-17,CD8 TEM
SRSF7,SRSF7,0.308092965,4.03E-17,CD8 TEM
CTDP1,CTDP1,0.304327577,1.01E-16,CD8 TEM
CDC42SE2,CDC42SE2,0.302902144,1.42E-16,CD8 TEM
CWF19L2,CWF19L2,0.296786604,6.05E-16,CD8 TEM
RASGRP1,RASGRP1,0.296639453,6.26E-16,CD8 TEM
RNF125,RNF125,0.290050263,2.87E-15,CD8 TEM
TINF2,TINF2,0.288559458,4.03E-15,CD8 TEM
GUK1,GUK1,0.282187871,1.68E-14,CD8 TEM
AGO2,AGO2,0.278821547,3.52E-14,CD8 TEM
THAP7,THAP7,0.267895474,3.62E-13,CD8 TEM
CCDC93,CCDC93,0.256839271,3.44E-12,CD8 TEM
GLS,GLS,0.248071718,1.91E-11,CD8 TEM
LSM14B,LSM14B,0.245370706,3.19E-11,CD8 TEM
CALM1,CALM1,0.241000967,7.24E-11,CD8 TEM
USP11,USP11,0.233758267,2.72E-10,CD8 TEM
SRSF5,SRSF5,0.230404879,4.94E-10,CD8 TEM
C9orf78,C9orf78,0.228774195,6.58E-10,CD8 TEM
DHX36,DHX36,0.224319913,1.43E-09,CD8 TEM
EIF1,EIF1,0.223337708,1.69E-09,CD8 TEM
EXOSC6,EXOSC6,0.219807049,3.08E-09,CD8 TEM
ZNF682,ZNF682,0.218739608,3.68E-09,CD8 TEM
BCAS2,BCAS2,0.217515995,4.51E-09,CD8 TEM
RBM34,RBM34,0.21655247,5.30E-09,CD8 TEM
HLA-A,HLA-A,0.216196055,5.62E-09,CD8 TEM
RANBP2,RANBP2,0.215383137,6.42E-09,CD8 TEM
IMP3,IMP3,0.213599602,8.61E-09,CD8 TEM
GLCCI1,GLCCI1,0.213588857,8.62E-09,CD8 TEM
OFD1,OFD1,0.212655055,1.00E-08,CD8 TEM
CEBPZ,CEBPZ,0.211073276,1.30E-08,CD8 TEM
MORF4L1,MORF4L1,0.1967283,1.21E-07,CD8 TEM
ZNF622,ZNF622,0.196168385,1.32E-07,CD8 TEM
NUDT16L1,NUDT16L1,0.190450796,3.06E-07,CD8 TEM
UBE4A,UBE4A,0.188118987,4.28E-07,CD8 TEM
SLC25A26,SLC25A26,0.17881376,1.57E-06,CD8 TEM
KIF13B,KIF13B,0.172887686,3.48E-06,CD8 TEM
HLA-B,HLA-B,0.161738361,1.45E-05,CD8 TEM
DDX3Y,DDX3Y,0.13506007,0.000301402,CD8 TEM
MT-CYB,MT-CYB,0.104090353,0.00543334,CD8 TEM
UMODL1,UMODL1,0.70774624,3.03E-109,CLP
SCN3A,SCN3A,0.577586273,1.37E-64,CLP
ATP1A3,ATP1A3,0.514248889,2.57E-49,CLP
ZCCHC7,ZCCHC7,0.461474484,7.74E-39,CLP
MTUS1,MTUS1,0.46036501,1.23E-38,CLP
CYGB,CYGB,0.437297073,1.29E-34,CLP
SCAI,SCAI,0.431388945,1.24E-33,CLP
AFF1,AFF1,0.420312843,7.58E-32,CLP
RHPN1,RHPN1,0.402563307,4.07E-29,CLP
PRCD,PRCD,0.398772479,1.48E-28,CLP
TBCD,TBCD,0.396715649,2.97E-28,CLP
SMAGP,SMAGP,0.387237113,6.87E-27,CLP
C5orf56,C5orf56,0.383940531,2.00E-26,CLP
ADA,ADA,0.36319864,1.26E-23,CLP
CBFA2T3,CBFA2T3,0.352650321,2.82E-22,CLP
SLC16A14,SLC16A14,0.349354178,7.26E-22,CLP
SDK2,SDK2,0.34730931,1.30E-21,CLP
GLRX,GLRX,0.344935418,2.53E-21,CLP
LRRC28,LRRC28,0.335544375,3.39E-20,CLP
ETS2,ETS2,0.33380481,5.42E-20,CLP
XPNPEP2,XPNPEP2,0.328308159,2.35E-19,CLP
LAIR1,LAIR1,0.317099842,4.28E-18,CLP
GPSM1,GPSM1,0.315147078,7.00E-18,CLP
COL24A1,COL24A1,0.307734427,4.40E-17,CLP
PSMA6,PSMA6,0.304767597,9.05E-17,CLP
GNA12,GNA12,0.300656339,2.43E-16,CLP
SASH3,SASH3,0.295234949,8.70E-16,CLP
CD99,CD99,0.29346551,1.31E-15,CLP
GCNT1,GCNT1,0.272181571,1.47E-13,CLP
PLD1,PLD1,0.27061012,2.05E-13,CLP
MED13L,MED13L,0.266329123,5.01E-13,CLP
ERAP2,ERAP2,0.26447223,7.35E-13,CLP
MYCBP2,MYCBP2,0.254270459,5.72E-12,CLP
GXYLT1,GXYLT1,0.243856354,4.24E-11,CLP
MSI2,MSI2,0.243000484,4.98E-11,CLP
KLHL6,KLHL6,0.238895131,1.07E-10,CLP
SYTL1,SYTL1,0.236944918,1.53E-10,CLP
MTSS1L,MTSS1L,0.23056102,4.80E-10,CLP
SH3KBP1,SH3KBP1,0.228671183,6.70E-10,CLP
SYNJ2BP,SYNJ2BP,0.225608673,1.14E-09,CLP
RPP14,RPP14,0.221562537,2.29E-09,CLP
GYPC,GYPC,0.220900048,2.56E-09,CLP
NUB1,NUB1,0.216150399,5.66E-09,CLP
ZBED4,ZBED4,0.214351156,7.61E-09,CLP
RPAP2,RPAP2,0.207330754,2.36E-08,CLP
HOXA10,HOXA10,0.202776019,4.81E-08,CLP
C2orf68,C2orf68,0.199115384,8.44E-08,CLP
FAM228B,FAM228B,0.197267265,1.12E-07,CLP
RAB33B,RAB33B,0.18861356,3.99E-07,CLP
LRRFIP1,LRRFIP1,0.182069247,1.01E-06,CLP
CUX1,CUX1,0.17971833,1.39E-06,CLP
EZH1,EZH1,0.175192795,2.56E-06,CLP
CPNE1,CPNE1,0.171861934,3.99E-06,CLP
ACTG1,ACTG1,0.169394263,5.49E-06,CLP
MED28,MED28,0.167788819,6.76E-06,CLP
RSL24D1,RSL24D1,0.142950765,0.000129518,CLP
DHX57,DHX57,0.138903005,0.00020087,CLP
DYSF,DYSF,0.64727033,9.07E-86,Classical-Mono
F5,F5,0.644605066,7.42E-85,Classical-Mono
